n_trades,win_rate,avg_trade,profit_factor,cagr,sharpe,sortino,max_dd,exposure,worst_trade,worst_year,trades_per_year,market,filter,stop,cost,data_start,data_end
44,0.5909090909090909,0.0050415936472366606,1.8863123015259933,0.05474937723135698,0.8267574674609688,1.5877961133890737,-0.05859721294909992,0.06048109965635739,-0.044570719043414676,0.007321509670139337,11.045360824742268,Nasdaq100,B_ibs_lt_0.5,stop_10pct,2x,2022-09-22,2026-09-16
30,0.6333333333333333,0.006972977001767961,2.728926707512009,0.05255422772842633,1.104774467609696,2.75391559606038,-0.03221518431174408,0.041237113402061855,-0.024953738079885924,-0.006565664476773314,7.530927835051546,Nasdaq100,C_ibs_lt_0.3,no_stop,1x,2022-09-22,2026-09-16
30,0.6333333333333333,0.006572977001767964,2.57256102789271,0.04940865550469575,1.0413998448435762,2.5959391337624487,-0.03377543697676233,0.041237113402061855,-0.02535373807988592,-0.008950286603037205,7.530927835051546,Nasdaq100,C_ibs_lt_0.3,no_stop,2x,2022-09-22,2026-09-16
30,0.6333333333333333,0.005826988586289609,2.125093903296403,0.04339337282625921,0.8623955817712915,2.279401616424042,-0.055810447915705774,0.03848797250859107,-0.02040000000000013,-0.02014180177784386,7.530927835051546,Nasdaq100,C_ibs_lt_0.3,stop_2pct,1x,2022-09-22,2026-09-16
30,0.6333333333333333,0.00542698858628961,2.0190035661040424,0.04027149210981662,0.8031954945220783,2.1229296012368315,-0.057342101728535044,0.03848797250859107,-0.020800000000000127,-0.022499292844243346,7.530927835051546,Nasdaq100,C_ibs_lt_0.3,stop_2pct,2x,2022-09-22,2026-09-16
30,0.6333333333333333,0.006972977001767961,2.728926707512009,0.05255422772842633,1.104774467609696,2.75391559606038,-0.03221518431174408,0.041237113402061855,-0.024953738079885924,-0.006565664476773314,7.530927835051546,Nasdaq100,C_ibs_lt_0.3,stop_5pct,1x,2022-09-22,2026-09-16
30,0.6333333333333333,0.006572977001767964,2.57256102789271,0.04940865550469575,1.0413998448435762,2.5959391337624487,-0.03377543697676233,0.041237113402061855,-0.02535373807988592,-0.008950286603037205,7.530927835051546,Nasdaq100,C_ibs_lt_0.3,stop_5pct,2x,2022-09-22,2026-09-16
30,0.6333333333333333,0.006972977001767961,2.728926707512009,0.05255422772842633,1.104774467609696,2.75391559606038,-0.03221518431174408,0.041237113402061855,-0.024953738079885924,-0.006565664476773314,7.530927835051546,Nasdaq100,C_ibs_lt_0.3,stop_10pct,1x,2022-09-22,2026-09-16
30,0.6333333333333333,0.006572977001767964,2.57256102789271,0.04940865550469575,1.0413998448435762,2.5959391337624487,-0.03377543697676233,0.041237113402061855,-0.02535373807988592,-0.008950286603037205,7.530927835051546,Nasdaq100,C_ibs_lt_0.3,stop_10pct,2x,2022-09-22,2026-09-16
20,0.6,0.006350620171292669,2.5812443948477157,0.031615783170731326,0.8730045661572171,2.2964560283433437,-0.03264575016907123,0.027491408934707903,-0.01938158983150078,-0.015774799191518585,5.020618556701031,Nasdaq100,D_ibs_lt_0.2,no_stop,1x,2022-09-22,2026-09-16
20,0.6,0.005950620171292671,2.424882992286362,0.029558224152629098,0.8180175228379809,2.1518115075625723,-0.03381907875357226,0.027491408934707903,-0.019781589831500777,-0.0165683577866389,5.020618556701031,Nasdaq100,D_ibs_lt_0.2,no_stop,2x,2022-09-22,2026-09-16
20,0.6,0.0050825786396550285,1.9618338849256045,0.024976107013532145,0.6409247176677451,1.5560837862233494,-0.05581044791570566,0.02611683848797251,-0.02040000000000013,-0.016796955151679005,5.020618556701031,Nasdaq100,D_ibs_lt_0.2,stop_2pct,1x,2022-09-22,2026-09-16
20,0.6,0.004682578639655028,1.8600948791045102,0.022929110060429858,0.5904838085853233,1.4336196673933879,-0.057342101728535155,0.02611683848797251,-0.020800000000000127,-0.01759010638273173,5.020618556701031,Nasdaq100,D_ibs_lt_0.2,stop_2pct,2x,2022-09-22,2026-09-16
20,0.6,0.006350620171292669,2.5812443948477157,0.031615783170731326,0.8730045661572171,2.2964560283433437,-0.03264575016907123,0.027491408934707903,-0.01938158983150078,-0.015774799191518585,5.020618556701031,Nasdaq100,D_ibs_lt_0.2,stop_5pct,1x,2022-09-22,2026-09-16
20,0.6,0.005950620171292671,2.424882992286362,0.029558224152629098,0.8180175228379809,2.1518115075625723,-0.03381907875357226,0.027491408934707903,-0.019781589831500777,-0.0165683577866389,5.020618556701031,Nasdaq100,D_ibs_lt_0.2,stop_5pct,2x,2022-09-22,2026-09-16
20,0.6,0.006350620171292669,2.5812443948477157,0.031615783170731326,0.8730045661572171,2.2964560283433437,-0.03264575016907123,0.027491408934707903,-0.01938158983150078,-0.015774799191518585,5.020618556701031,Nasdaq100,D_ibs_lt_0.2,stop_10pct,1x,2022-09-22,2026-09-16
20,0.6,0.005950620171292671,2.424882992286362,0.029558224152629098,0.8180175228379809,2.1518115075625723,-0.03381907875357226,0.027491408934707903,-0.019781589831500777,-0.0165683577866389,5.020618556701031,Nasdaq100,D_ibs_lt_0.2,stop_10pct,2x,2022-09-22,2026-09-16
7,0.7142857142857143,0.0169187189474971,17.09357517681401,0.029556762388358804,1.095996315736399,12.985807844819696,-0.005406525460312617,0.009621993127147767,-0.005406525460312772,-0.001952375923085392,1.7572164948453608,Nasdaq100,E_close_lt_sma180,no_stop,1x,2022-09-22,2026-09-16
7,0.7142857142857143,0.0165187189474971,15.172377774753663,0.02884496191196928,1.0700842754894386,12.678791506641424,-0.005806525460312906,0.009621993127147767,-0.005806525460312772,-0.002352375923085459,1.7572164948453608,Nasdaq100,E_close_lt_sma180,no_stop,2x,2022-09-22,2026-09-16
7,0.5714285714285714,0.013004668145764087,4.279404892975791,0.02245204706401127,0.710734342615364,2.152912322195091,-0.02569623234092233,0.009621993127147767,-0.02040000000000002,-0.001952375923085392,1.7572164948453608,Nasdaq100,E_close_lt_sma180,stop_2pct,1x,2022-09-22,2026-09-16
7,0.5714285714285714,0.012604668145764083,4.046824043916641,0.02174230784836584,0.688873443601286,2.0866926448280423,-0.02648574973073836,0.009621993127147767,-0.020800000000000016,-0.002352375923085459,1.7572164948453608,Nasdaq100,E_close_lt_sma180,stop_2pct,2x,2022-09-22,2026-09-16
7,0.7142857142857143,0.0169187189474971,17.09357517681401,0.029556762388358804,1.095996315736399,12.985807844819696,-0.005406525460312617,0.009621993127147767,-0.005406525460312772,-0.001952375923085392,1.7572164948453608,Nasdaq100,E_close_lt_sma180,stop_5pct,1x,2022-09-22,2026-09-16
7,0.7142857142857143,0.0165187189474971,15.172377774753663,0.02884496191196928,1.0700842754894386,12.678791506641424,-0.005806525460312906,0.009621993127147767,-0.005806525460312772,-0.002352375923085459,1.7572164948453608,Nasdaq100,E_close_lt_sma180,stop_5pct,2x,2022-09-22,2026-09-16
7,0.7142857142857143,0.0169187189474971,17.09357517681401,0.029556762388358804,1.095996315736399,12.985807844819696,-0.005406525460312617,0.009621993127147767,-0.005406525460312772,-0.001952375923085392,1.7572164948453608,Nasdaq100,E_close_lt_sma180,stop_10pct,1x,2022-09-22,2026-09-16
7,0.7142857142857143,0.0165187189474971,15.172377774753663,0.02884496191196928,1.0700842754894386,12.678791506641424,-0.005806525460312906,0.009621993127147767,-0.005806525460312772,-0.002352375923085459,1.7572164948453608,Nasdaq100,E_close_lt_sma180,stop_10pct,2x,2022-09-22,2026-09-16
0,,,,,,,,,,,,Nasdaq100,F_ibs_lt_0.2_and_close_lt_sma180,no_stop,1x,2022-09-22,2026-09-16
0,,,,,,,,,,,,Nasdaq100,F_ibs_lt_0.2_and_close_lt_sma180,no_stop,2x,2022-09-22,2026-09-16
0,,,,,,,,,,,,Nasdaq100,F_ibs_lt_0.2_and_close_lt_sma180,stop_2pct,1x,2022-09-22,2026-09-16
0,,,,,,,,,,,,Nasdaq100,F_ibs_lt_0.2_and_close_lt_sma180,stop_2pct,2x,2022-09-22,2026-09-16
0,,,,,,,,,,,,Nasdaq100,F_ibs_lt_0.2_and_close_lt_sma180,stop_5pct,1x,2022-09-22,2026-09-16
0,,,,,,,,,,,,Nasdaq100,F_ibs_lt_0.2_and_close_lt_sma180,stop_5pct,2x,2022-09-22,2026-09-16
0,,,,,,,,,,,,Nasdaq100,F_ibs_lt_0.2_and_close_lt_sma180,stop_10pct,1x,2022-09-22,2026-09-16
0,,,,,,,,,,,,Nasdaq100,F_ibs_lt_0.2_and_close_lt_sma180,stop_10pct,2x,2022-09-22,2026-09-16
44,0.5909090909090909,0.00406792661010593,2.0595058982788355,0.04472727588581704,0.9601288465156098,1.9186140772478972,-0.04604706593841568,0.061168384879725084,-0.030604131999439278,0.037389847548742416,11.045360824742268,Nasdaq100,G_close_gt_sma180_control,no_stop,1x,2022-09-22,2026-09-16
