n_trades,win_rate,avg_trade,profit_factor,cagr,sharpe,sortino,max_dd,exposure,worst_trade,worst_year,trades_per_year,market,source,filter,stop,cost,data_start,data_end
195,0.5333333333333333,-0.00090498797051988,0.7753221179648081,-0.048265624342152647,-0.4841179160751716,-0.41999885106299156,-0.27099706289675096,0.4250871080139373,-0.13038543818614187,-0.15071226084928446,49.633275261324044,DAX30,ibkr_daily,A_none,stop_10pct,2x,2022-10-13,2026-09-17
16,0.5625,-0.005279444266553935,0.3790568344359756,-0.021952482295244602,-0.6087391458862813,-0.6258389574401196,-0.11092545808773224,0.032752613240418116,-0.04965253066099344,-0.09248066116243792,4.072473867595819,DAX30,ibkr_daily,E_prior_close_lt_sma180,no_stop,1x,2022-10-13,2026-09-17
16,0.5625,-0.005679444266553936,0.3454824518718006,-0.02355368476216313,-0.6548606022480985,-0.6732559904339066,-0.11274478197855464,0.032752613240418116,-0.050052530660993445,-0.094692630949481,4.072473867595819,DAX30,ibkr_daily,E_prior_close_lt_sma180,no_stop,2x,2022-10-13,2026-09-17
16,0.5625,-0.0022370945234835666,0.5902718975992355,-0.009338727544901393,-0.39904415703580076,-0.6268768146444909,-0.06501866658963795,0.032752613240418116,-0.02040000000000002,-0.045621484451678684,4.072473867595819,DAX30,ibkr_daily,E_prior_close_lt_sma180,stop_2pct,1x,2022-10-13,2026-09-17
16,0.5625,-0.002637094523483566,0.5320109293364477,-0.010955334698258046,-0.47039458999192196,-0.7389644905229921,-0.0669124864367896,0.032752613240418116,-0.020800000000000016,-0.04792782861111011,4.072473867595819,DAX30,ibkr_daily,E_prior_close_lt_sma180,stop_2pct,2x,2022-10-13,2026-09-17
16,0.5625,-0.005279444266553935,0.3790568344359756,-0.021952482295244602,-0.6087391458862813,-0.6258389574401196,-0.11092545808773224,0.032752613240418116,-0.04965253066099344,-0.09248066116243792,4.072473867595819,DAX30,ibkr_daily,E_prior_close_lt_sma180,stop_5pct,1x,2022-10-13,2026-09-17
16,0.5625,-0.005679444266553936,0.3454824518718006,-0.02355368476216313,-0.6548606022480985,-0.6732559904339066,-0.11274478197855464,0.032752613240418116,-0.050052530660993445,-0.094692630949481,4.072473867595819,DAX30,ibkr_daily,E_prior_close_lt_sma180,stop_5pct,2x,2022-10-13,2026-09-17
16,0.5625,-0.005279444266553935,0.3790568344359756,-0.021952482295244602,-0.6087391458862813,-0.6258389574401196,-0.11092545808773224,0.032752613240418116,-0.04965253066099344,-0.09248066116243792,4.072473867595819,DAX30,ibkr_daily,E_prior_close_lt_sma180,stop_10pct,1x,2022-10-13,2026-09-17
16,0.5625,-0.005679444266553936,0.3454824518718006,-0.02355368476216313,-0.6548606022480985,-0.6732559904339066,-0.11274478197855464,0.032752613240418116,-0.050052530660993445,-0.094692630949481,4.072473867595819,DAX30,ibkr_daily,E_prior_close_lt_sma180,stop_10pct,2x,2022-10-13,2026-09-17
145,0.5586206896551724,-0.000634282786995549,0.8311826068654985,-0.026585647642966892,-0.2872278861653891,-0.23676887830835747,-0.17459053403095326,0.3121951219512195,-0.1299854381861419,-0.1449653210871681,36.90679442508711,DAX30,ibkr_daily,G_prior_close_gt_sma180_control,no_stop,1x,2022-10-13,2026-09-17
