timeframe,strategy,params,is_sharpe,is_cagr,is_maxdd,is_trades,oos_sharpe,oos_cagr,oos_maxdd,oos_calmar,oos_trades,oosA_cagr,oosB_cagr,full_sharpe,full_cagr,full_maxdd,n_combos_tested,search_seconds
15m,bollinger_mr_L,"{""period"": 24, ""n_std"": 2.5, ""exit_z"": 0.5, ""long_short"": false}",0.555279127499781,0.15944958144813604,-0.7045786008322596,4722,-0.3545379724517421,-0.16924459241394496,-0.7784514997719219,-0.21741186504686785,3926,0.01835201005102305,-0.3866748666239085,0.1926733670054559,-0.0038912106730191187,-0.8809678709936322,36,10.2
15m,ema_crossover_LS,"{""fast"": 288, ""slow"": 672, ""long_short"": true}",1.114861894919105,0.8052215896909685,-0.5269436631265776,246,0.0541608900688835,-0.1788860717259877,-0.8711431597809369,-0.20534635406076251,254,-0.33211652688959825,0.11371829528396415,0.6920479916331354,0.26350074544435187,-0.8711431597809338,24,0.7
15m,bollinger_mr_LS,"{""period"": 48, ""n_std"": 2.0, ""exit_z"": 0.5, ""long_short"": true}",-0.4910306379230407,-0.41993650111731284,-0.972063231387263,8970,-1.7520447297470758,-0.6492194241583281,-0.9949149093494936,-0.6525376371963388,7615,-0.5691743369534579,-0.7418353209359427,-0.98622204769553,-0.5390915207505884,-0.9998504102235846,36,11.1
1d,tsmom_L,"{""lookback"": 14, ""long_short"": false}",1.3598117184502951,0.7514101806739839,-0.622116561375375,233,1.4321919819232072,0.7195611377559075,-0.5105358832533058,1.4094232381289689,219,0.5924393931602459,0.9291308038260935,1.388124210424389,0.73645998694598,-0.622116561375375,9,0.0
1d,ema_crossover_adx_L,"{""fast"": 2, ""slow"": 14, ""adx_period"": 2, ""adx_min"": 20, ""long_short"": false}",1.5911561623668788,0.935465263180915,-0.3668442440869395,209,1.1803402815674218,0.5291745022260217,-0.6171572741659659,0.8574386536092519,187,0.3586306416267817,0.8243709272157742,1.4121279404334228,0.7379040577911675,-0.6171572741659659,9,0.0
1d,volatility_breakout_L,"{""atr_period"": 2, ""k"": 1.0, ""ema_span"": 2, ""long_short"": false}",1.2893005232592876,0.7067369140889135,-0.6352922044642569,131,1.0124416598825154,0.42000145556281177,-0.6041867355484816,0.695151731825979,120,0.2716496925551519,0.6741395562674064,1.170367992724806,0.5694094123804196,-0.6352922044642569,6,0.1
1d,ema_crossover_L,"{""fast"": 3, ""slow"": 7, ""long_short"": false}",1.579688477363287,0.9612528838120749,-0.4517877390268681,255,0.9661806645935834,0.38848216567495775,-0.6380753842218548,0.6088342777064174,247,0.28746810440032333,0.5543133662173847,1.3181205595642742,0.675215977513872,-0.6380753842218554,9,0.0
1d,donchian_breakout_L,"{""entry_n"": 7, ""exit_n"": 2, ""long_short"": false}",1.535212731786994,0.7658469054170207,-0.3562126051183222,140,0.9990128024162406,0.3608677474098305,-0.5596539407860549,0.6448051574567281,141,0.1725849487960185,0.6990819427990798,1.3044426076150941,0.567891489390661,-0.5596539407860542,10,0.1
1d,donchian_breakout_LS,"{""entry_n"": 14, ""exit_n"": 7, ""long_short"": true}",0.921893049378221,0.4796943289232971,-0.5895619208804839,114,0.6363010059176106,0.22676958416557125,-0.6233687110760852,0.36378082527451866,98,0.23025798275861153,0.22477375170918346,0.7984497141310882,0.35829557921405963,-0.6233687110760853,10,0.1
1d,rsi2_mr,"{""rsi_period"": 2, ""buy_th"": 10, ""sell_th"": 70, ""trend_span"": 100}",0.4843413310918696,0.09956964163464277,-0.28160411362161974,74,0.6835309992510903,0.12873923893187045,-0.23549204842401372,0.546681893479774,74,0.15678216689717916,0.08844995823353652,0.5569886967604794,0.1127024787630897,-0.28160411362161974,12,0.0
1d,ema_crossover_adx_LS,"{""fast"": 2, ""slow"": 14, ""adx_period"": 2, ""adx_min"": 20, ""long_short"": true}",1.2066057606831577,0.8641667919499718,-0.5687863427718058,226,0.42380923092881356,0.06920100970395593,-0.7595323038624511,0.09111002830564006,211,-0.015699967192286057,0.21217194021683938,0.8741312270801992,0.446602528949001,-0.7595323038624514,9,0.0
1d,bollinger_mr_L,"{""period"": 7, ""n_std"": 2.0, ""exit_z"": 0.0, ""long_short"": false}",0.20053727019805598,0.013031457811235603,-0.43381554461619287,64,0.10045072502989798,-0.016345206673938906,-0.40556974539471624,-0.04030183922627442,54,-0.07392510188211532,0.07598830082349783,0.15770305699768328,-0.0004564816504646352,-0.6155330240219692,18,0.1
1d,volatility_breakout_LS,"{""atr_period"": 2, ""k"": 1.0, ""ema_span"": 2, ""long_short"": true}",0.9055907817481444,0.4915898627067905,-0.6552757418381299,131,0.22728987744048856,-0.05984477813016875,-0.7221576987532188,-0.08286940405605142,120,-0.11221315972082624,0.02612919204676789,0.6185564039045518,0.20873713826745433,-0.7221576987532179,6,0.1
